country,longitude (degrees),latitude (degrees),longitude (radians),latitude (radians),x_radian_ecef,y_radian_ecef,z_radian_ecef,long_coverted,hyp,lat_convert
Cambodia,104.9069431,12.72004932,1.830971565,0.2220067417,-0.250936355,0.9426284452,0.2201875564,1.830971565,0.9754575542,0.2220067417
Cameroon,12.73964266,5.69110296,0.2223487099,0.09932848472,0.9705745222,0.2194341662,0.09916523369,0.2223487099,0.9950709806,0.09932848472
Canada,-98.30775723,61.36206827,-1.715794044,1.070970127,-0.06925023866,-0.4742436292,0.877665873,-1.715794044,0.4792730072,1.070970127
Cape Verde,-23.95990969,15.95518822,-0.4181793126,0.2784705672,0.8786263474,-0.3904532337,0.2748854562,-0.4181793126,0.9614769815,0.2784705672
Cayman Islands,-80.91213058,19.42896455,-1.412183083,0.3390994017,0.1489545437,-0.9312167107,0.3326379137,-1.412183083,0.9430546211,0.3390994017
Central African Republic,20.46826364,6.56823003,0.3572385927,0.1146372401,0.9307167609,0.3473932662,0.114386317,0.3572385927,0.9934363445,0.1146372401
Chad,18.64493211,15.33333336,0.3254154541,0.2676171524,0.9137898899,0.3083222517,0.2644341625,0.3254154541,0.96440374,0.2676171524
Chile,-71.38255879,-37.73069754,-1.245860679,-0.6585249011,0.2524917388,-0.7495092102,-0.6119508687,-1.245860679,0.7908957797,-0.6585249011
China,103.8190739,36.56176801,1.811984666,0.6381232321,-0.1918533481,0.7799659332,0.595689043,1.811984666,0.8032151419,0.6381232321
Colombia,-73.08114936,3.91383156,-1.275506677,0.06830924709,0.2903382741,-0.9544866613,0.06825613591,-1.275506677,0.9976678304,0.06830924709
Comoros,43.68238096,-11.87777573,0.7624013729,-0.2073062943,0.7076954918,0.6758722638,-0.2058246193,0.7624013729,0.9785888953,-0.2073062943
Cook Islands,-159.7872415,-21.21926813,-2.788813467,-0.3703460937,-0.8747935024,-0.3220825241,-0.361938083,-2.788813467,0.9322021369,-0.3703460937
Costa Rica,-84.19208786,9.9763424,-1.469429137,0.1741200222,0.09966356984,-0.9798237312,0.1732415328,-1.469429137,0.9848793689,0.1741200222
Cote d'Ivoire,-5.56921598,7.62842868,-0.09720115561,0.1331411972,0.9864712577,-0.09618927135,0.1327481894,-0.09720115561,0.9911497961,0.1331411972
Croatia,16.40413079,45.08047284,0.2863060932,0.7868026794,0.677369637,0.1994137926,0.7080992262,0.2863060932,0.7061129413,0.7868026794
Cuba,-79.01606913,21.62290023,-1.379090568,0.3773908028,0.1771256887,-0.9125990822,0.3684961404,-1.379090568,0.929629278,0.3773908028
Curacao,-68.9712225,12.19552443,-1.203774922,0.2128520553,0.3507387204,-0.9123357079,0.2112484465,-1.203774922,0.9774323986,0.2128520553
Cyprus,33.00600358,34.91666932,0.5760634354,0.6094108435,0.6876508088,0.4466681044,0.5723844597,0.5760634354,0.8199853842,0.6094108435
Czech Republic,15.31240065,49.73341073,0.2672518077,0.8680117655,0.623399876,0.1706879376,0.7630453607,0.2672518077,0.6463449369,0.8680117655
Congo,23.64395637,-2.87746013,0.4126648869,-0.05022115336,0.9149003406,0.4005462798,-0.05020004503,0.4126648869,0.9987391829,-0.05022115336
Denmark,10.02799418,55.98126391,0.1750215158,0.9770573747,0.550916927,0.09741908405,0.8288546685,0.1750215158,0.5594639742,0.9770573747
Djibouti,42.56067681,11.74872052,0.7428239422,0.205053856,0.7211305185,0.6622006618,0.2036198879,0.7428239422,0.9790500198,0.205053856
Dominica,-61.35773122,15.43947211,-1.070894431,0.2694696231,0.4620411495,-0.8459578958,0.2662202374,-1.070894431,0.963912229,0.2694696231
Dominican Republic,-70.50569086,18.8943308,-1.230556447,0.3297682824,0.3157318955,-0.8918808852,0.3238238051,-1.230556447,0.9461174046,0.3297682824
East Timor,125.8443864,-8.8288854,2.196398888,-0.1540931195,-0.5786472905,0.8010055971,-0.1534840276,2.196398888,0.9881511288,-0.1540931195
Ecuador,-78.75203573,-1.42381949,-1.374482316,-0.02485033805,0.1949952503,-0.9804893881,-0.02484778046,-1.374482316,0.9996912462,-0.02485033805
Egypt,29.8618993,26.49593108,0.5211884637,0.4624412357,0.7761396531,0.4456135809,0.4461342573,0.5211884637,0.8949660466,0.4624412357
El Salvador,-88.87164456,13.73944008,-1.551102809,0.2397984668,0.01912876797,-0.9711974977,0.2375068647,-1.551102809,0.9713858601,0.2397984668
Equatorial Guinea,10.34138898,1.70554042,0.1804912869,0.02976729585,0.9833198024,0.1794333748,0.02976289996,0.1804912869,0.9995569868,0.02976729585
Eritrea,38.84615444,15.36186881,0.6779932967,0.26811519,0.751006749,0.604821629,0.264914439,0.6779932967,0.9642719222,0.26811519
Estonia,25.54248555,58.67192416,0.445800472,1.024018255,0.4691220515,0.2241868917,0.854204155,0.445800472,0.5199377479,1.024018255
Ethiopia,39.6008014,8.62278417,0.6911643709,0.1504959745,0.7617951924,0.630229739,0.1499285193,0.6911643709,0.9886968388,0.1504959745
Falkland Islands,-59.35240055,-51.7448299,-1.035894809,-0.9031176526,0.3156231727,-0.5326791482,-0.7852610636,-1.035894809,0.6191648101,-0.9031176526
Faroe Islands,-6.88096322,62.05386227,-0.1200954639,1.08304421,0.4652657912,-0.05614650312,0.8833885406,-0.1200954639,0.4686413194,1.08304421
Federated States of Micronesia,153.2370612,7.4528106,2.674491254,0.1300760835,-0.8853342749,0.4464959636,0.1297095837,2.674491254,0.9915520278,0.1300760835
Fiji,165.4505548,-17.4285609,2.887656931,-0.3041857716,-0.9234945918,0.2396823923,-0.2995164265,2.887656931,0.9540911436,-0.3041857716
Finland,26.27467024,64.49884844,0.4585795056,1.125717269,0.3860479119,0.1905844535,0.9025766315,0.4585795056,0.4305292373,1.125717269
France,2.53618475,46.18700581,0.04426477433,0.806115323,0.6916287131,0.03063479982,0.7216032374,0.04426477433,0.6923068451,0.806115323
French Guiana,-53.2484462,3.92595718,-0.9293607078,0.06852087908,0.5969422278,-0.7993573726,0.06846727282,-0.9293607078,0.9976533629,0.06852087908
French Polynesia,-144.9048876,-14.72228068,-2.529067391,-0.2569522713,-0.7913364818,-0.5560597522,-0.254134068,-2.529067391,0.9671690005,-0.2569522713
French Southern and Antarctic Lands,69.22673416,-49.24895992,1.208234441,-0.8595565038,0.2315196585,0.610337526,-0.7575531348,1.208234441,0.6527735043,-0.8595565038
Gabon,11.78863005,-0.58660329,0.2057504087,-0.01023815881,0.9788566462,0.204291091,-0.01023797995,0.2057504087,0.9999475905,-0.01023815881
Gambia,-15.39601809,13.44965377,-0.2687112074,0.2347407415,0.9376727217,-0.2582079895,0.2325908451,-0.2687112074,0.9725746752,0.2347407415
Gaza,34.34757119,31.39150353,0.5994782073,0.5478850937,0.7047810362,0.481626969,0.5208830519,0.5994782073,0.8536280491,0.5478850937
Georgia,43.50778995,42.16855944,0.7593541849,0.7359802031,0.5375585902,0.5102629762,0.6713139781,0.7593541849,0.7411730856,0.7359802031
Germany,10.38577693,51.10697903,0.1812660028,0.8919850548,0.6175814225,0.1131889366,0.7783196331,0.1812660028,0.6278682575,0.8919850548
Ghana,-1.21676901,7.95345124,-0.02123662546,0.138813911,0.9901574906,-0.02103076545,0.1383685325,-0.02123662546,0.9903808102,0.138813911
Greece,22.95556207,39.07466973,0.4006501398,0.6819816409,0.7148461168,0.3027800672,0.6303326583,0.4006501398,0.7763251509,0.6819816409
Greenland,-41.34191035,74.71051369,-0.7215524547,1.30394445,0.1979780265,-0.1741846956,0.9646058225,-0.7215524547,0.2636960507,1.30394445
Grenada,-61.68219415,12.1172555,-1.076557378,0.2114860048,0.4637930612,-0.8607162814,0.2099130278,-1.076557378,0.9777200626,0.2114860048
Guam,144.7679224,13.4416655,2.526676897,0.2346013199,-0.7944469194,0.5610870266,0.2324552449,2.526676897,0.9726070939,0.2346013199
Guatemala,-90.36482288,15.69404158,-1.577163687,0.2739126985,-0.006129943073,-0.9627003662,0.2705003303,-1.577163687,0.9627198821,0.2739126985
Guernsey,-2.57240158,49.46809855,-0.04489687725,0.8633811944,0.6492164581,-0.02916739212,0.7600442446,-0.04489687725,0.6498713305,0.8633811944
Guinea,-10.94066379,10.43621595,-0.1909506055,0.1821463298,0.9655821097,-0.1866526063,0.1811408124,-0.1909506055,0.9834571704,0.1821463298
Guinea Bissau,-14.94972941,12.04744454,-0.2609220005,0.2102675737,0.9448731272,-0.2522896594,0.2087215877,-0.2609220005,0.9779751013,0.2102675737
Guyana,-58.98202596,4.79378052,-1.029430552,0.08366725369,0.5135043719,-0.8540078277,0.08356967314,-1.029430552,0.9965019366,0.08366725369
Haiti,-72.68527364,18.93500961,-1.268597343,0.3304782616,0.2815152118,-0.9030237485,0.324495447,-1.268597343,0.945887258,0.3304782616
Heard Island and McDonald Islands,73.52052712,-53.08725301,1.283175266,-0.9265473559,0.1703727588,0.5759264077,-0.799551059,1.283175266,0.6005981219,-0.9265473559
Honduras,-86.61516846,14.82688225,-1.511719872,0.2587779131,0.05707619864,-0.9650170109,0.2558993476,-1.511719872,0.9667034312,0.2587779131
Hong Kong S.A.R.,114.1137986,22.39828782,1.991661508,0.3909238693,-0.3777281999,0.8438766683,0.3810427478,1.991661508,0.9245574208,0.3909238693
Hungary,19.39559381,47.16277712,0.3385169724,0.8231457451,0.6413312755,0.225792959,0.7332883026,0.3385169724,0.6799178371,0.8231457451
Iceland,-18.57397086,64.99575263,-0.3241769467,1.134389883,0.4006691192,-0.1346374501,0.9062764556,-0.3241769467,0.4226854457,1.134389883
India,79.61197355,22.88578035,1.389491062,0.399432219,0.1661196619,0.9061813776,0.3888953186,1.389491062,0.9212819499,0.399432219
Indian Ocean Territories,104.8494652,-10.64829627,1.829968387,-0.1858478296,-0.2518671884,0.9499575432,-0.1847798298,1.829968387,0.9827799421,-0.1858478296
Indonesia,117.2400976,-2.21505018,2.046225718,-0.03865991874,-0.4573782506,0.8884319282,-0.03865028934,2.046225718,0.9992527984,-0.03865991874
Iran,54.27407071,32.57503287,0.9472612323,0.5685415775,0.4920522911,0.684109696,0.538403628,0.9472612323,0.842687091,0.5685415775
Iraq,43.74353204,33.03970511,0.7634686605,0.5766516381,0.6056180453,0.5796221497,0.5452200902,0.7634686605,0.83829294,0.5766516381
Ireland,-8.13793167,53.1754426,-0.1420337019,0.9280865546,0.5933312155,-0.08484433559,0.8004745514,-0.1420337019,0.5993667429,0.9280865546
Isle of Man,-4.53873822,54.2241965,-0.07921592583,0.9463907632,0.5827817851,-0.04626240722,0.8113107793,-0.07921592583,0.5846151036,0.9463907632
Israel,35.00444995,31.4611019,0.6109429045,0.5490998145,0.6986943448,0.4893119222,0.521919587,0.6109429045,0.8529946921,0.5490998145
Italy,12.07000946,42.79663568,0.2106614058,0.7469422014,0.7175481819,0.1534361945,0.6793982196,0.2106614058,0.733769759,0.7469422014
Jamaica,-77.31482556,18.15695476,-1.349398267,0.3168986427,0.2086594159,-0.9270132236,0.3116211343,-1.349398267,0.9502064348,0.3168986427
Japan,138.0308921,37.59230065,2.409093537,0.6561094197,-0.5891326562,0.5298825422,0.6100386913,2.409093537,0.7923716269,0.6561094197
Jersey,-2.12687655,49.21837488,-0.03712099858,0.8590226941,0.6527278229,-0.02424104408,0.7572045701,-0.03712099858,0.6531778004,0.8590226941
Jordan,36.77137251,31.24579389,0.6417815208,0.5453419808,0.6848410468,0.5117930839,0.5187104973,0.6417815208,0.8549499518,0.5453419808
Kazakhstan,67.29149657,48.15687954,1.174458174,0.8404961055,0.2575266771,0.6153807855,0.7449741603,1.174458174,0.6670933222,0.8404961055
Kenya,37.79594437,0.5998746,0.6596636732,0.01046978687,0.7901550855,0.6128175327,0.01046959559,0.6596636732,0.9999451923,0.01046978687
Kiribati,-45.6220913,0.86052252,-0.7962557048,0.01501895126,0.6993089336,-0.7146617825,0.01501838663,-0.7962557048,0.9998872177,0.01501895126
Kosovo,20.87249613,42.57078418,0.3642937806,0.7430003491,0.6881135746,0.2623866082,0.6765005368,0.3642937806,0.7364421388,0.7430003491
Kuwait,47.58699362,29.33431677,0.8305497198,0.5119804115,0.5879867644,0.6436341879,0.4899046817,0.8305497198,0.871776005,0.5119804115
Kyrgyzstan,74.54165548,41.46221785,1.300997318,0.7236522167,0.199741371,0.7222828469,0.6621260256,1.300997318,0.7493925048,0.7236522167
Laos,103.7377213,18.50217971,1.810564795,0.3229239547,-0.225202877,0.9211832191,0.3173407334,1.810564795,0.9483115833,0.3229239547
Latvia,24.9123704,56.85085306,0.434802888,0.9922345685,0.4959403923,0.2303380255,0.8372499754,0.434802888,0.546820335,0.9922345685
Lebanon,35.88016327,33.92306993,0.6262269852,0.5920692627,0.6723309605,0.4863317936,0.5580792651,0.6262269852,0.8297876438,0.5920692627
Lesotho,28.22722773,-29.5800467,0.4926580626,-0.5162692078,0.7662450533,0.4113259316,-0.4936390343,0.4926580626,0.8696668924,-0.5162692078
Liberia,-9.32207781,6.45278273,-0.1627009509,0.1126223046,0.9805418475,-0.1609578746,0.112384376,-0.1627009509,0.9936648087,0.1126223046
Libya,18.00865782,27.03094247,0.3143103728,0.471778946,0.8471226569,0.2753883639,0.4544716198,0.3143103728,0.8907612176,0.471778946
Liechtenstein,9.53573593,47.13665447,0.1664299886,0.8226898189,0.6708526867,0.1126924183,0.732978234,0.1664299886,0.6802520918,0.8226898189
Lithuania,23.88720035,55.32611078,0.4169102952,0.9656227954,0.5201749383,0.2303707932,0.8224033872,0.4169102952,0.5689047976,0.9656227954
Luxembourg,6.07182681,49.76724687,0.1059733694,0.8686023175,0.6422707885,0.06831954214,0.763426928,0.1059733694,0.6458942062,0.8686023175
Macau S.A.R,113.509331,22.22310807,1.981111558,0.3878664058,-0.3692674897,0.8488790032,0.3782141707,1.981111558,0.9257181218,0.3878664058
Macedonia,21.68211343,41.59531059,0.3784242681,0.7259751232,0.6949403378,0.2762990773,0.6638650064,0.3784242681,0.7478524275,0.7259751232
Madagascar,46.70473751,-19.37189599,0.8151514458,-0.3381033674,0.6469342992,0.6866237407,-0.3316984341,0.8151514458,0.943385472,-0.3381033674
Malawi,34.2893585,-13.2180697,0.5984622042,-0.230698837,0.8043142152,0.5484470869,-0.2286579019,0.5984622042,0.9735068381,-0.230698837
Malaysia,109.6976155,3.78987255,1.914584572,0.06614575423,-0.3363189913,0.9394257036,0.06609753062,1.914584572,0.9978131671,0.06614575423
Maldives,73.45711081,3.72854733,1.282068443,0.06507542722,0.2841303143,0.9565778211,0.06502950659,1.282068443,0.9978833415,0.06507542722
Mali,-3.54268794,17.34581461,-0.06183156892,0.3027415764,0.9526986515,-0.05898203709,0.2981382207,-0.06183156892,0.9545227087,0.3027415764
Malta,14.40522042,35.92151315,0.2514185258,0.6269486768,0.7843610331,0.2014658631,0.586676466,0.2514185258,0.809821415,0.6269486768
Marshall Islands,170.3396364,7.00352799,2.972987502,0.1222346227,-0.978464241,0.166555373,0.1219304592,2.972987502,0.9925386456,0.1222346227
Mauritania,-10.3477974,20.25736926,-0.180603135,0.3535577914,0.9228883552,-0.1685126803,0.3462377224,-0.180603135,0.9381468113,0.3535577914
Mauritius,57.57120758,-20.2777156,1.004807127,-0.353912902,0.5030162203,0.7917470117,-0.3465708464,1.004807127,0.9380237995,-0.353912902
Mexico,-102.5234504,23.94753932,-1.78937177,0.4179634089,-0.1981731193,-0.8921729589,0.4059000199,-1.78937177,0.9139174874,0.4179634089
Moldova,28.45673742,47.19499323,0.4966637624,0.8237080223,0.5974056388,0.3237809696,0.733670489,0.4966637624,0.6795054184,0.8237080223
Monaco,7.40628055,43.75276115,0.1292639809,0.7636297389,0.7163042596,0.09311152441,0.6915478665,0.1292639809,0.7223306364,0.7636297389
Mongolia,103.0529965,46.82681435,1.798614093,0.8172820886,-0.1545294121,0.6665270735,0.7292889147,1.798614093,0.6842058746,0.8172820886
Montenegro,19.2388382,42.7889115,0.3357810708,0.746807389,0.6928775576,0.2418122449,0.6792992922,0.3357810708,0.7338613436,0.746807389
Montserrat,-62.18519807,16.73941361,-1.085336452,0.2921578823,0.446842143,-0.846981087,0.2880193353,-1.085336452,0.9576245937,0.2921578823
Morocco,-8.45616045,29.83762793,-0.1475878419,0.5207648484,0.858008673,-0.127559168,0.4975437425,-0.1475878419,0.8674388879,0.5207648484
Mozambique,35.53367351,-17.27381898,0.6201795981,-0.3014850156,0.7770700992,0.5549680591,-0.2969385699,0.6201795981,0.9548965838,-0.3014850156
Myanmar,96.48843207,21.18566514,1.68404083,0.3697596109,-0.1053652443,0.9264418457,0.3613913002,1.68404083,0.9324142471,0.3697596109
Namibia,17.20962769,-22.13030791,0.3003646662,-0.3862467375,0.8848564758,0.2740717775,-0.3767143189,0.3003646662,0.9263294888,-0.3862467375
Nauru,166.9325852,-0.51914199,2.913523241,-0.009060737011,-0.9740647254,0.2260880713,-0.009060613035,2.913523241,0.9999589518,-0.009060737011
Nepal,83.9158367,28.24891362,1.464607645,0.4930365528,0.09336588201,0.8759378493,0.4733029646,1.464607645,0.8808997126,0.4930365528
Netherlands,5.2814735,52.10080804,0.09217910193,0.9093306432,0.6116661797,0.05654307851,0.789092748,0.09217910193,0.6142740716,0.9093306432
New Caledonia,165.6849208,-21.29990206,2.891747389,-0.3717534213,-0.9027634616,0.2303645655,-0.3632496379,2.891747389,0.9316918485,-0.3717534213
New Zealand,171.4849539,-41.81112825,2.992977063,-0.7297418519,-0.7371305842,0.1103628087,-0.6666772475,2.992977063,0.7453465286,-0.7297418519
Nicaragua,-85.03052894,12.84709633,-1.484062695,0.2242241303,0.0844564383,-0.9713020105,0.2223499818,-1.484062695,0.9749669151,0.2242241303
Niger,9.38546454,17.41912605,0.1638072581,0.3040211024,0.941367912,0.1555970952,0.299359313,0.1638072581,0.9541404518,0.3040211024
Nigeria,8.08944243,9.59411807,0.1411874051,0.1674489491,0.9762019309,0.138750591,0.1666675244,0.1411874051,0.9860131522,0.1674489491
Niue,-169.8699537,-19.0494623,-2.964789992,-0.3324758379,-0.9305019413,-0.1662511318,-0.3263842803,-2.964789992,0.9452371668,-0.3324758379
Norfolk Island,167.949202,-29.05143845,2.931266551,-0.5070432534,-0.85491961,0.1825111326,-0.4855946324,2.931266551,0.874184107,-0.5070432534
North Korea,127.1924781,40.15350291,2.219927527,0.700810832,-0.4620270149,0.6088640763,0.6448376339,2.219927527,0.7643195836,0.700810832
Northern Cyprus,33.5684401,35.2627605,0.5858798045,0.6154512741,0.6803398063,0.4514767135,0.5773270522,0.5858798045,0.8165129973,0.6154512741
Northern Mariana Islands,145.6196188,15.82873009,2.541541804,0.2762634565,-0.7940123714,0.5432723647,0.2727627022,2.541541804,0.9620813418,0.2762634565
Norway,15.34832968,68.75014407,0.2678788876,1.199916375,0.3495092428,0.09593186154,0.9320087806,0.2678788876,0.3624356948,1.199916375
Oman,56.09165967,20.60515412,0.9789841441,0.3596277823,0.5221780598,0.7768386376,0.3519258515,0.9789841441,0.9360278816,0.3596277823
Pakistan,69.33958027,29.94975221,1.210203978,0.5227217862,0.3057130826,0.810739552,0.4992403127,1.210203978,0.8664635654,0.5227217862
Palau,134.4082215,7.28760993,2.345866007,0.1271927879,-0.6941130738,0.708601503,0.1268501109,2.345866007,0.9919218968,0.1271927879
Panama,-80.11915152,8.5175119,-1.398342988,0.1486586267,0.1697071749,-0.9743009817,0.1481116873,-1.398342988,0.9889706407,0.1486586267
Papua New Guinea,145.2074492,-6.46416276,2.534348087,-0.1128209235,-0.8160024479,0.5669791514,-0.1125817345,2.534348087,0.9936424674,-0.1128209235
Paraguay,-58.40014084,-23.22823896,-1.019274741,-0.4054092493,0.4815102443,-0.7826880424,-0.3943948694,-1.019274741,0.9189410683,-0.4054092493
